,Text,Created_at,neg,neu,pos,compound,sentiment,top_10_only
0," @rightsatbirth: ""what he did was manipulative, dishonest, and coercive. coerced sex isn2\x80\x99t consensual sex, it is sexual assault. the burd2\x806'",2019-10-16 22:33:00,0.455,0.545,0.0,-0.875,negative,{'sexual'}
1,"happy 94th birthday\0\x9f\x8e\x82 to @_angelalansbury  bedknobs &amp; broomsticks is still one of my favorite movies.\n\nhere's hoping2\x806 https://t.co/c24mvhyxjl""",2019-10-16 22:33:00,0.0,0.717,0.283,0.7717,positive,set()
2," @reploritrahan: two years ago #metoo woke up our nation. it's become part of our national consciousness, demanding better for survivors2\x806""",2019-10-16 22:33:00,0.107,0.73,0.163,0.25,positive,"{'two', 'years'}"
3, @ritug15: #timesup #metoovoter  #mentoo #metoo #brexit #wednesdaywisdom \ntime has come that laws should be amended so that rampant fake2\x806',2019-10-16 22:33:00,0.0,1.0,0.0,0.0,neutral,set()
4," @ambertamblyn: months before metoo broke us wide open, a man tapped me on the shoulder at a restaurant and said he had read this op-ed i2\x806'",2019-10-16 22:33:00,0.189,0.811,0.0,-0.4215,negative,{'metoo'}
5, @manny_ottawa: what a year on twitter- i2\x80\x99ve seen\n\nliberal:\n1. lawyers - defend attack on rule of law- #obstructionofjustice \n\n2. feminis2\x806',2019-10-16 22:33:00,0.181,0.819,0.0,-0.4767,negative,set()
6,child advocate weighs in on new london school sex abuse investigation - nbc connecticut https://t.co/yyx7ufzcdo2\x806 https://t.co/vxul7evxdp',2019-10-16 22:33:00,0.219,0.781,0.0,-0.6369,negative,set()
7," @rightsatbirth: ""what he did was manipulative, dishonest, and coercive. coerced sex isn2\x80\x99t consensual sex, it is sexual assault. the burd2\x806'",2019-10-16 22:32:00,0.455,0.545,0.0,-0.875,negative,{'sexual'}
8, @socialiststeve6: i would instead tell my 2 daughters . . . \n\nduring the time of the #metoo movement it is very very very very very very2\x806',2019-10-16 22:32:00,0.0,1.0,0.0,0.0,neutral,{'movement'}
9," @queerministry: whether queer in sexuality, gender, culture or  creed: help queer ministry uplift your community in love. we believe fai2\x806'",2019-10-16 22:32:00,0.0,0.67,0.33,0.7845,positive,set()
10,#metoo and me too https://t.co/yrcnghz3ia',2019-10-16 22:31:00,0.0,1.0,0.0,0.0,neutral,set()
